kanji,language_code,meaning,example
一,rus,один,一 — один
二,rus,два,二 — два
三,rus,три,三 — три
四,rus,четыре,四 — четыре
五,rus,пять,五 — пять
六,rus,шесть,六 — шесть
七,rus,семь,七 — семь
八,rus,восемь,八 — восемь
九,rus,девять,九 — девять
十,rus,десять,十 — десять
百,rus,сто,百 — сто
円,rus,йена; круг,円 — йена; круг
日,rus,день; солнце,日 — день; солнце
月,rus,месяц; луна,月 — месяц; луна
火,rus,огонь,火 — огонь
水,rus,вода,水 — вода
木,rus,дерево,木 — дерево
金,rus,деньги; золото,金 — деньги; золото
土,rus,земля; почва,土 — земля; почва
人,rus,человек,人 — человек
子,rus,ребёнок,子 — ребёнок
女,rus,женщина,女 — женщина
男,rus,мужчина,男 — мужчина
口,rus,рот,口 — рот
山,rus,гора,山 — гора
川,rus,река,川 — река
学,rus,учёба,学 — учёба
生,rus,жизнь; рождение,生 — жизнь; рождение
先,rus,предыдущий; раньше,先 — предыдущий; раньше
本,rus,книга; основа,本 — книга; основа
語,rus,язык; слово,語 — язык; слово
年,rus,год,年 — год
時,rus,время; час,時 — время; час
上,rus,верх,上 — верх
下,rus,низ,下 — низ
中,rus,середина; внутри,中 — середина; внутри
大,rus,большой,大 — большой
小,rus,маленький,小 — маленький
右,rus,право,右 — право
左,rus,лево,左 — лево
見,rus,видеть,見 — видеть
行,rus,идти,行 — идти
来,rus,приходить,来 — приходить
食,rus,есть,食 — есть
飲,rus,пить,飲 — пить
買,rus,покупать,買 — покупать
書,rus,писать,書 — писать
読,rus,читать,読 — читать
聞,rus,слушать; спрашивать,聞 — слушать; спрашивать
話,rus,говорить; рассказ,話 — говорить; рассказ
