kanji,reading,reading_type
一,イチ,on
一,ひと,kun
二,ニ,on
二,ふた,kun
三,サン,on
三,み,kun
四,シ,on
四,よん,kun
四,よ,kun
五,ゴ,on
五,いつ,kun
六,ロク,on
六,む,kun
七,シチ,on
七,なな,kun
八,ハチ,on
八,や,kun
九,キュウ,on
九,ここの,kun
十,ジュウ,on
十,とお,kun
百,ヒャク,on
円,エン,on
円,まる,kun
日,ニチ,on
日,ひ,kun
月,ゲツ,on
月,つき,kun
火,カ,on
火,ひ,kun
水,スイ,on
水,みず,kun
木,モク,on
木,き,kun
金,キン,on
金,かね,kun
土,ド,on
土,つち,kun
人,ジン,on
人,ひと,kun
子,シ,on
子,こ,kun
女,ジョ,on
女,おんな,kun
男,ダン,on
男,おとこ,kun
口,コウ,on
口,くち,kun
山,サン,on
山,やま,kun
川,セン,on
川,かわ,kun
学,ガク,on
学,まな,kun
生,セイ,on
生,い,kun
生,なま,kun
先,セン,on
先,さき,kun
本,ホン,on
本,もと,kun
語,ゴ,on
語,かた,kun
年,ネン,on
年,とし,kun
時,ジ,on
時,とき,kun
上,ジョウ,on
上,うえ,kun
下,カ,on
下,した,kun
中,チュウ,on
中,なか,kun
大,ダイ,on
大,おお,kun
小,ショウ,on
小,ちい,kun
右,ウ,on
右,みぎ,kun
左,サ,on
左,ひだり,kun
見,ケン,on
見,み,kun
行,コウ,on
行,い,kun
行,おこな,kun
来,ライ,on
来,く,kun
食,ショク,on
食,た,kun
飲,イン,on
飲,の,kun
買,バイ,on
買,か,kun
書,ショ,on
書,か,kun
読,ドク,on
読,よ,kun
聞,ブン,on
聞,き,kun
話,ワ,on
話,はな,kun
