writing_form,reading_kana,kanji,position_index
一つ,ひとつ,一,0
二つ,ふたつ,二,0
三つ,みっつ,三,0
四つ,よっつ,四,0
五つ,いつつ,五,0
六つ,むっつ,六,0
七つ,ななつ,七,0
八つ,やっつ,八,0
九つ,ここのつ,九,0
十,とお,十,0
百円,ひゃくえん,百,0
百円,ひゃくえん,円,1
日本,にほん,日,0
日本,にほん,本,1
日本語,にほんご,日,0
日本語,にほんご,本,1
日本語,にほんご,語,2
月,つき,月,0
火,ひ,火,0
水,みず,水,0
木,き,木,0
金,かね,金,0
土,つち,土,0
人,ひと,人,0
男,おとこ,男,0
女,おんな,女,0
子ども,こども,子,0
口,くち,口,0
山,やま,山,0
川,かわ,川,0
学生,がくせい,学,0
学生,がくせい,生,1
先生,せんせい,先,0
先生,せんせい,生,1
中学生,ちゅうがくせい,中,0
中学生,ちゅうがくせい,学,1
中学生,ちゅうがくせい,生,2
小学生,しょうがくせい,小,0
小学生,しょうがくせい,学,1
小学生,しょうがくせい,生,2
本,ほん,本,0
年,とし,年,0
時,とき,時,0
上,うえ,上,0
下,した,下,0
中,なか,中,0
大きい,おおきい,大,0
小さい,ちいさい,小,0
右,みぎ,右,0
左,ひだり,左,0
見る,みる,見,0
行く,いく,行,0
来る,くる,来,0
食べる,たべる,食,0
飲む,のむ,飲,0
買う,かう,買,0
書く,かく,書,0
読む,よむ,読,0
聞く,きく,聞,0
話す,はなす,話,0
