learning_block_title,kanji,order_index
N5: числа и деньги,一,1
N5: числа и деньги,二,2
N5: числа и деньги,三,3
N5: числа и деньги,四,4
N5: числа и деньги,五,5
N5: числа и деньги,六,6
N5: числа и деньги,七,7
N5: числа и деньги,八,8
N5: числа и деньги,九,9
N5: числа и деньги,十,10
N5: числа и деньги,百,11
N5: числа и деньги,円,12
N5: природа и элементы,日,13
N5: природа и элементы,月,14
N5: природа и элементы,火,15
N5: природа и элементы,水,16
N5: природа и элементы,木,17
N5: числа и деньги,金,18
N5: природа и элементы,土,19
N5: люди и учёба,人,20
N5: люди и учёба,子,21
N5: люди и учёба,女,22
N5: люди и учёба,男,23
N5: люди и учёба,口,24
N5: природа и элементы,山,25
N5: природа и элементы,川,26
N5: люди и учёба,学,27
N5: люди и учёба,生,28
N5: люди и учёба,先,29
N5: люди и учёба,本,30
N5: люди и учёба,語,31
N5: люди и учёба,年,32
N5: люди и учёба,時,33
N5: положение и размер,上,34
N5: положение и размер,下,35
N5: положение и размер,中,36
N5: положение и размер,大,37
N5: положение и размер,小,38
N5: положение и размер,右,39
N5: положение и размер,左,40
N5: повседневные глаголы,見,41
N5: повседневные глаголы,行,42
N5: повседневные глаголы,来,43
N5: повседневные глаголы,食,44
N5: повседневные глаголы,飲,45
N5: повседневные глаголы,買,46
N5: повседневные глаголы,書,47
N5: повседневные глаголы,読,48
N5: повседневные глаголы,聞,49
N5: повседневные глаголы,話,50
