learning_block_title,writing_form,reading_kana,order_index
N5: числа и деньги,一つ,ひとつ,1
N5: числа и деньги,二つ,ふたつ,2
N5: числа и деньги,三つ,みっつ,3
N5: числа и деньги,四つ,よっつ,4
N5: числа и деньги,五つ,いつつ,5
N5: числа и деньги,六つ,むっつ,6
N5: числа и деньги,七つ,ななつ,7
N5: числа и деньги,八つ,やっつ,8
N5: числа и деньги,九つ,ここのつ,9
N5: числа и деньги,十,とお,10
N5: числа и деньги,百円,ひゃくえん,11
N5: природа и элементы,日本,にほん,12
N5: люди и учёба,日本語,にほんご,13
N5: природа и элементы,月,つき,14
N5: природа и элементы,火,ひ,15
N5: природа и элементы,水,みず,16
N5: природа и элементы,木,き,17
N5: числа и деньги,金,かね,18
N5: природа и элементы,土,つち,19
N5: люди и учёба,人,ひと,20
N5: люди и учёба,男,おとこ,21
N5: люди и учёба,女,おんな,22
N5: люди и учёба,子ども,こども,23
N5: люди и учёба,口,くち,24
N5: природа и элементы,山,やま,25
N5: природа и элементы,川,かわ,26
N5: люди и учёба,学生,がくせい,27
N5: люди и учёба,先生,せんせい,28
N5: люди и учёба,中学生,ちゅうがくせい,29
N5: люди и учёба,小学生,しょうがくせい,30
N5: люди и учёба,本,ほん,31
N5: люди и учёба,年,とし,32
N5: люди и учёба,時,とき,33
N5: положение и размер,上,うえ,34
N5: положение и размер,下,した,35
N5: положение и размер,中,なか,36
N5: положение и размер,大きい,おおきい,37
N5: положение и размер,小さい,ちいさい,38
N5: положение и размер,右,みぎ,39
N5: положение и размер,左,ひだり,40
N5: повседневные глаголы,見る,みる,41
N5: повседневные глаголы,行く,いく,42
N5: повседневные глаголы,来る,くる,43
N5: повседневные глаголы,食べる,たべる,44
N5: повседневные глаголы,飲む,のむ,45
N5: повседневные глаголы,買う,かう,46
N5: повседневные глаголы,書く,かく,47
N5: повседневные глаголы,読む,よむ,48
N5: повседневные глаголы,聞く,きく,49
N5: повседневные глаголы,話す,はなす,50
