writing_form,reading_kana,jlpt_level,topic_name
一つ,ひとつ,N5,numbers
二つ,ふたつ,N5,numbers
三つ,みっつ,N5,numbers
四つ,よっつ,N5,numbers
五つ,いつつ,N5,numbers
六つ,むっつ,N5,numbers
七つ,ななつ,N5,numbers
八つ,やっつ,N5,numbers
九つ,ここのつ,N5,numbers
十,とお,N5,numbers
百円,ひゃくえん,N5,money
日本,にほん,N5,places
日本語,にほんご,N5,language
月,つき,N5,nature
火,ひ,N5,nature
水,みず,N5,food
木,き,N5,nature
金,かね,N5,money
土,つち,N5,nature
人,ひと,N5,people
男,おとこ,N5,people
女,おんな,N5,people
子ども,こども,N5,people
口,くち,N5,body
山,やま,N5,nature
川,かわ,N5,nature
学生,がくせい,N5,school
先生,せんせい,N5,school
中学生,ちゅうがくせい,N5,school
小学生,しょうがくせい,N5,school
本,ほん,N5,objects
年,とし,N5,time
時,とき,N5,time
上,うえ,N5,position
下,した,N5,position
中,なか,N5,position
大きい,おおきい,N5,adjectives
小さい,ちいさい,N5,adjectives
右,みぎ,N5,position
左,ひだり,N5,position
見る,みる,N5,verbs
行く,いく,N5,verbs
来る,くる,N5,verbs
食べる,たべる,N5,verbs
飲む,のむ,N5,verbs
買う,かう,N5,verbs
書く,かく,N5,verbs
読む,よむ,N5,verbs
聞く,きく,N5,verbs
話す,はなす,N5,verbs
