writing_form,reading_kana,meaning,example_jp,example_translation,part_of_speech
一つ,ひとつ,один предмет,一つください。,"Дайте один, пожалуйста.",numeral
二つ,ふたつ,два предмета,二つあります。,Есть два предмета.,numeral
三つ,みっつ,три предмета,三つ食べます。,Я съем три штуки.,numeral
四つ,よっつ,четыре предмета,四つ買います。,Я куплю четыре штуки.,numeral
五つ,いつつ,пять предметов,五つ見ます。,Я вижу пять штук.,numeral
六つ,むっつ,шесть предметов,六つあります。,Есть шесть штук.,numeral
七つ,ななつ,семь предметов,七つ読みます。,Я прочитаю семь штук.,numeral
八つ,やっつ,восемь предметов,八つ書きます。,Я напишу восемь штук.,numeral
九つ,ここのつ,девять предметов,九つ聞きます。,Я спрошу девять раз.,numeral
十,とお,десять,十あります。,Есть десять.,numeral
百円,ひゃくえん,сто йен,百円です。,Это стоит сто йен.,noun
日本,にほん,Япония,日本へ行きます。,Я поеду в Японию.,noun
日本語,にほんご,японский язык,日本語を話します。,Я говорю по-японски.,noun
月,つき,луна; месяц,月を見ます。,Я смотрю на луну.,noun
火,ひ,огонь,火を見ます。,Я смотрю на огонь.,noun
水,みず,вода,水を飲みます。,Я пью воду.,noun
木,き,дерево,木の下にいます。,Я нахожусь под деревом.,noun
金,かね,деньги,金があります。,Есть деньги.,noun
土,つち,земля; почва,土があります。,Есть земля.,noun
人,ひと,человек,人がいます。,Есть человек.,noun
男,おとこ,мужчина,男の人です。,Это мужчина.,noun
女,おんな,женщина,女の人です。,Это женщина.,noun
子ども,こども,ребёнок,子どもが来ます。,Ребёнок придёт.,noun
口,くち,рот,口を開けます。,Я открываю рот.,noun
山,やま,гора,山へ行きます。,Я иду в горы.,noun
川,かわ,река,川を見ます。,Я вижу реку.,noun
学生,がくせい,студент; учащийся,私は学生です。,Я студент.,noun
先生,せんせい,учитель,先生が話します。,Учитель говорит.,noun
中学生,ちゅうがくせい,ученик средней школы,中学生です。,Я ученик средней школы.,noun
小学生,しょうがくせい,ученик начальной школы,小学生です。,Я ученик начальной школы.,noun
本,ほん,книга,本を読みます。,Я читаю книгу.,noun
年,とし,год; возраст,年を聞きます。,Я спрашиваю возраст.,noun
時,とき,время,時を見ます。,Я смотрю время.,noun
上,うえ,верх; над,本は上にあります。,Книга находится сверху.,noun
下,した,низ; под,木の下にいます。,Я нахожусь под деревом.,noun
中,なか,внутри; середина,中に人がいます。,Внутри есть человек.,noun
大きい,おおきい,большой,大きい山です。,Это большая гора.,i-adjective
小さい,ちいさい,маленький,小さい本です。,Это маленькая книга.,i-adjective
右,みぎ,право; справа,右を見ます。,Я смотрю направо.,noun
左,ひだり,лево; слева,左を見ます。,Я смотрю налево.,noun
見る,みる,видеть; смотреть,山を見ます。,Я смотрю на гору.,verb
行く,いく,идти; ехать,学校へ行きます。,Я иду в школу.,verb
来る,くる,приходить,先生が来ます。,Учитель придёт.,verb
食べる,たべる,есть,ご飯を食べます。,Я ем рис.,verb
飲む,のむ,пить,水を飲みます。,Я пью воду.,verb
買う,かう,покупать,本を買います。,Я покупаю книгу.,verb
書く,かく,писать,日本語を書きます。,Я пишу по-японски.,verb
読む,よむ,читать,本を読みます。,Я читаю книгу.,verb
聞く,きく,слушать; спрашивать,先生に聞きます。,Я спрашиваю учителя.,verb
話す,はなす,говорить,日本語を話します。,Я говорю по-японски.,verb
